stage_rel_m,area_m2,storage_m3,dSdh_m2
-12.499999999999893,50262650000.0,1856617661840.177,50257207985.86598
-12.449999999999893,50296540000.0,1859131639571.5125,50297316557.48952
-12.399999999999892,50332830000.0,1861647393495.926,50332173710.75612
-12.349999999999891,50365690000.0,1864164856942.5881,50365989003.52223
-12.29999999999989,50400120000.0,1866683992396.2783,50399977946.80104
-12.24999999999989,50433570000.0,1869204854737.2683,50433633460.40944
-12.19999999999989,50467490000.0,1871727355742.3193,50467230299.28395
-12.149999999999888,50502450000.0,1874251577767.1968,50502835879.012955
-12.099999999999888,50541300000.0,1876777639330.2207,50541995779.02028
-12.049999999999887,50581440000.0,1879305777345.0989,50580728848.65407
-11.999999999999886,50616630000.0,1881835712215.0862,50616571204.3694
-11.949999999999886,50652260000.0,1884367434465.536,50652763657.45534
-11.899999999999885,50689280000.0,1886900988580.8318,50689470759.90651
-11.849999999999884,50726280000.0,1889436381541.5266,50726304050.577896
-11.799999999999883,50762610000.0,1891973618985.8896,50762640743.14381
-11.749999999999883,50799500000.0,1894512645615.841,50799152728.69068
-11.699999999999882,50835920000.0,1897053534258.7588,50836317973.522224
-11.649999999999881,50873150000.0,1899596277413.1934,50872791074.808846
-11.59999999999988,50908180000.0,1902140813366.2397,50908348544.9358
-11.54999999999988,50944330000.0,1904687112267.687,50943657548.98121
-11.49999999999988,50978290000.0,1907235179121.138,50978902556.40797
-11.449999999999878,51014330000.0,1909785002523.328,51014118146.979256
-11.399999999999878,51049280000.0,1912336590935.836,51049107947.85328
-11.349999999999877,51083670000.0,1914889913318.1133,51083098202.66285
-11.299999999999876,51116020000.0,1917444900756.1023,51116247331.544685
-11.249999999999876,51149290000.0,1920001538051.2678,51150133356.15162
-11.199999999999875,51185050000.0,1922559914091.7175,51184534032.17945
-11.149999999999874,51218120000.0,1925119991454.4858,51218452154.88453
-11.099999999999874,51252740000.0,1927681759307.206,51252604696.60084
-11.049999999999873,51286780000.0,1930245251924.146,51286599109.681885
-10.999999999999872,51319900000.0,1932810419218.1743,51320550066.56177
-10.949999999999871,51355270000.0,1935377306930.8022,51354946821.77173
-10.89999999999987,51388630000.0,1937945913900.3516,51388794697.23071
-10.84999999999987,51422850000.0,1940516186400.5254,51423097257.71411
-10.79999999999987,51458690000.0,1943088223626.123,51459269991.39331
-10.749999999999869,51497060000.0,1945662113399.6648,51495921888.29028
