date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,level_obs_m_asl,level_sim_m_asl
2010-01-16,-0.6227943505202271,2710989369689.728,57884490000.0,11.089310190812814,11.25,-318168042.7486642,43434185.25719676,69852067.2,4354838.70967742,-348940763.4011448,502.7104775138514,1134.1,1133.9393101908126
2010-01-17,-0.6304142648907447,2710512073031.118,57884490000.0,11.081690276442297,11.23,-402297205.5,0.0,70644614.39999999,4354838.70967742,-477296658.6096774,0.0,1134.08,1133.9316902764422
2010-01-18,-0.6374040261810012,2710074247939.379,57884490000.0,11.07470051515204,11.23,-378979294.3520312,14594826.922662387,69085785.60000001,4354838.70967742,-437825091.7390462,168.92160790118504,1134.08,1133.924700515152
2010-01-19,-0.6448734517445721,2709606377607.7886,57884490000.0,11.067231089588468,11.24,-399836375.3164093,5658178.435694465,69337296.0,4354838.70967742,-467870331.59039223,65.48817633905631,1134.09,1133.9172310895883
2010-01-20,-0.6427971560641191,2709736432742.581,57884490000.0,11.069307385268921,11.25,-86656788.68427756,289580925.38664275,68514163.2,4354838.70967742,130055134.79268776,3351.6310808639205,1134.1,1133.919307385269
2010-01-21,-0.6445462283198743,2709626874248.516,57884490000.0,11.067558313013166,11.23,-174744901.85544556,140653889.7000286,71112643.2,4354838.70967742,-109558494.06509438,1627.9385381947754,1134.08,1133.9175583130132
2010-01-22,-0.635680879229269,2710182182522.6777,57884490000.0,11.076423662103771,11.22,164053942.35620627,469327119.31526226,73717948.8,4354838.70967742,555308274.1617911,5432.0268439266465,1134.07,1133.9264236621036
2010-01-23,-0.6336423503475016,2710309872018.4434,57884490000.0,11.078462190985539,11.21,-55825573.65293197,258903495.32811332,71033587.2,4354838.70967742,127689495.76550391,2996.5682329642746,1134.06,1133.9284621909856
2010-01-24,-0.6364760292341131,2710132375868.436,57884490000.0,11.075628512098927,11.19,-222869565.85118458,122043672.15330867,72315417.60000001,4354838.70967742,-177496150.00755334,1412.542501774406,1134.04,1133.925628512099
2010-01-25,-0.6391461028012257,2709965127638.357,57884490000.0,11.072958438531815,11.21,-216866556.41210163,122297853.04246132,68324688.0,4354838.70967742,-167248230.07931772,1415.4844102136726,1134.06,1133.9229584385316
2010-01-26,-0.6462918581357134,2709517531382.2114,57884490000.0,11.065812683197327,11.22,-376138638.7059947,816693.2702745866,67919472.0,4354838.70967742,-447596256.14539754,9.452468405955864,1134.07,1133.9158126831971
2010-01-27,-0.6527709593049614,2709111693050.1113,57884490000.0,11.05933358202808,11.21,-337451092.02008015,2761278.6294445735,66793680.00000001,4354838.70967742,-405838332.10031295,31.959243396349233,1134.06,1133.909333582028
2010-01-28,-0.6602928061565513,2708640539150.7017,57884490000.0,11.05181173517649,11.2,-397666446.3,0.0,69132614.39999999,4354838.70967742,-471153899.4096774,0.0,1134.05,1133.9018117351764
2010-01-29,-0.6681024765312172,2708151356543.9927,57884490000.0,11.044002064801823,11.19,-417104616.7430975,1658813.5440017842,69381964.8,4354838.70967742,-489182606.70877314,19.199230833353983,1134.04,1133.8940020648017
2010-01-30,-0.6758665541581339,2707665029778.583,57884490000.0,11.036237987174907,11.19,-409243344.3,0.0,72728582.39999999,4354838.70967742,-486326765.4096774,0.0,1134.04,1133.8862379871748
2010-01-31,-0.6838050694999728,2707167776573.004,57884490000.0,11.028299471833067,11.18,-418220247.5568945,1708639.0875904413,76386758.4,4354838.70967742,-497253205.57898146,19.77591536563011,1134.03,1133.878299471833
2010-02-01,-0.6913787733906798,2706693374449.2324,57884490000.0,11.020725767942361,11.18,-393614532.0,0.0,75966163.2,4821428.571428572,-474402123.7714286,0.0,1134.03,1133.8707257679423
2010-02-02,-0.6988049258166396,2706228214663.061,57884490000.0,11.0132996155164,11.17,-384353013.6,0.0,75985344.0,4821428.571428572,-465159786.1714286,0.0,1134.02,1133.8632996155163
2010-02-03,-0.7058373116870894,2705787719650.2812,57884490000.0,11.006267229645951,11.19,-364139876.0538417,411485.44527120347,71945193.6,4821428.571428572,-440495012.7799991,4.7625630239722625,1134.04,1133.856267229646
2010-02-04,-0.6999382748030574,2706157223880.494,57884490000.0,11.012166266529983,11.21,202297779.82536268,243587987.75907144,71560108.8,4821428.571428572,369504230.21300554,2819.3054138781417,1134.06,1133.8621662665298
2010-02-05,-0.70363649259121,2705925574690.3237,57884490000.0,11.00846804874183,11.21,-191033963.69238284,34436010.09357733,70229808.0,4821428.571428572,-231649190.17023408,398.56493163862655,1134.06,1133.8584680487418
2010-02-06,-0.6965998581594742,2706366335824.7427,57884490000.0,11.015504683173566,11.19,196292320.19370246,320368412.396686,71078169.6,4821428.571428572,440761134.4189599,3707.967736072755,1134.04,1133.8655046831734
2010-02-07,-0.6965315642031816,2706370613625.72,57884490000.0,11.015572977129859,11.2,-63490348.10685952,143300460.85586396,70710883.2,4821428.571428572,4277800.977575864,1658.5701487947217,1134.05,1133.8655729771297
