date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,qout_policy_m3s,level_obs_m_asl,level_sim_m_asl
2012-11-08,0.1375081329323126,2758613242772.6807,57884490000.0,11.849594421137583,11.57,69033035.7120922,127882722.13684118,114099893.45321235,4500000.0,78315864.39572105,1480.1240988060322,1320.6006186714392,1134.4199999999998,1134.6995944211376
2012-11-09,0.15427111974228272,2759663243757.427,57884490000.0,11.866357407947554,11.59,787151017.1844432,384912720.95938677,117562753.39783889,4500000.0,1050000984.7459912,4455.008344437347,1360.680016178691,1134.4399999999998,1134.7163574079475
2012-11-10,0.158049302103325,2759899901773.3647,57884490000.0,11.870135590308596,11.59,178489795.54702675,181122465.62476635,118454245.23386109,4500000.0,236658015.937932,2096.324833619981,1370.998208725244,1134.4399999999998,1134.7201355903085
2012-11-11,0.15922773702938944,2759973716651.754,57884490000.0,11.87131402523466,11.61,70919278.8051139,126206324.23823828,118810724.65430436,4500000.0,73814878.38904783,1460.72134534998,1375.1241279433375,1134.4599999999998,1134.7213140252345
2012-11-12,0.15198093251241662,2759519790870.7866,57884490000.0,11.864067220717686,11.61,-339568760.25623083,7551788.224802952,117408808.93582618,4500000.0,-453925780.96725404,87.40495630558972,1358.8982515720622,1134.4599999999998,1134.7140672207177
2012-11-13,0.1455096663374706,2759114443307.5347,57884490000.0,11.857595954542742,11.61,-308877267.96453696,24218359.894472186,116188655.18180166,4500000.0,-405347563.25186646,280.30509137120583,1344.776101641223,1134.4599999999998,1134.7075959545427
2012-11-14,0.13875239244444534,2758691180775.4863,57884490000.0,11.850838680649716,11.59,-322462281.03087735,18630875.916771863,114931126.93400252,4500000.0,-423262532.048108,215.63513792560025,1330.221376550955,1134.4399999999998,1134.7008386806497
2012-11-15,0.132403591129494,2758293504173.5635,57884490000.0,11.844489879334764,11.54,-295285060.3191656,15883230.545083102,113774772.14872642,4500000.0,-397676601.9228089,183.83368686438774,1316.8376406102595,1134.3899999999999,1134.6944898793347
2012-11-16,0.12954304403916822,2758114325051.382,57884490000.0,11.84162933224444,11.56,-116334956.5411436,54962324.96473839,113306490.6050316,4500000.0,-179179122.1814368,636.1380204252129,1311.4177153360138,1134.4099999999999,1134.6916293322442
2012-11-17,0.1301589311309943,2758152903024.403,57884490000.0,11.842245219336265,11.56,42737152.378799975,113850535.47604395,113509714.83371367,4500000.0,38577973.02113025,1317.714530972731,1313.7698476124267,1134.4099999999999,1134.6922452193362
