date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,qout_policy_m3s,level_obs_m_asl,level_sim_m_asl
2009-11-24,-0.7758881249249227,2701399872649.6675,57884484822.375015,10.936198163280348,11.05,-123242380.27434143,59432336.70958179,95820081.33830623,4500000.0,-164130124.90306586,687.8742674720115,1109.0287191933592,1133.8999999999999,1133.7861981632802
2009-11-25,-0.7778222586281232,2701278722272.055,57884484435.54827,10.934264029577147,11.05,-87022829.91200936,66136245.36012045,95763793.06062469,4500000.0,-121150377.6125136,765.4658027791719,1108.377234497971,1133.8999999999999,1133.7842640295771
2009-11-26,-0.7779954580259398,2701267873398.2607,57884484400.908394,10.934090830179331,11.13,1941574.7482530936,87492798.56493399,95783247.10779004,4500000.0,-10848873.79460296,1012.6481315385878,1108.6023970809033,1133.98,1133.7840908301791
2009-11-27,-0.7800444519988785,2701139528396.498,57884483991.109604,10.932041836206391,11.13,-102648367.85672368,74523358.05457658,95719991.96068229,4500000.0,-128345001.7628294,862.5388663724141,1107.8702773227117,1133.98,1133.7820418362062
2009-11-28,-0.7770281140713458,2701328465944.2603,57884484594.37718,10.935058174133925,11.14,161952922.25266758,127359300.749307,95874675.23984993,4500000.0,188937547.76212466,1474.065980894757,1109.6605930538185,1133.99,1133.7850581741338
2009-11-29,-0.7695705578840657,2701795592775.594,57884486085.88842,10.942515730321205,11.15,394226922.0029839,173620548.0094837,96220638.67824657,4500000.0,467126831.33422107,2009.4970834430983,1113.6647995167427,1134.0,1133.7925157303212
2009-11-30,-0.7747659953743101,2701470160664.69,57884485046.80093,10.937320292830961,11.12,-245839032.15522102,20928458.776845008,96021537.52597238,4500000.0,-325432110.9043484,242.22753213940982,1111.3603880320877,1133.9699999999998,1133.7873202928308
2009-12-01,-0.7773041485570846,2701311175680.342,57884484539.17029,10.934782139648187,11.07,-122659759.90711454,64112360.93479676,95937585.37605925,4500000.0,-158984984.34837702,742.0412145231106,1110.3887196303153,1133.9199999999998,1133.784782139648
2009-12-02,-0.7846284780562008,2700852393909.927,57884483074.30439,10.92745781014907,11.1,-360942754.79483813,2309893.918105295,95648909.53837441,4500000.0,-458781770.41510725,26.734883311403877,1107.0475641015557,1133.9499999999998,1133.777457810149
2009-12-03,-0.7869878614439482,2700704606718.233,57884482602.42771,10.925098426761322,11.08,-108510534.56313738,60796342.06063809,95572999.19144027,4500000.0,-147787191.69393957,703.6613664425705,1106.1689721231512,1133.9299999999998,1133.7750984267611
2009-12-04,-0.7919362822791055,2700394647250.7095,57884481612.743546,10.920150005926166,11.06,-231581043.8142738,21507847.35043509,95386271.05964959,4500000.0,-309959467.5234883,248.93341840781352,1104.0077668940924,1133.9099999999999,1133.770150005926
2009-12-05,-0.794734619360396,2700219364852.4326,57884481053.076126,10.917351668844875,11.05,-142823042.86254194,67333034.37738897,95292389.7916342,4500000.0,-175282398.27678716,779.317527516076,1102.9211781439144,1133.8999999999999,1133.7673516688449
2009-12-06,-0.7939416898028402,2700269032419.447,57884481211.66204,10.91814459840243,11.07,32885442.919268586,116635125.56264742,95353001.46786396,4500000.0,49667567.01405205,1349.9435829010117,1103.6227021743514,1133.9199999999998,1133.7681445984024
2009-12-07,-0.7959301504797026,2700144479105.7485,57884480813.9699,10.916156137725569,11.05,-91343109.95683771,66583447.00580523,95293650.74721268,4500000.0,-124553313.69824517,770.6417477523754,1102.9357725371838,1133.8999999999999,1133.7661561377254
2009-12-08,-0.7954219173131782,2700176313843.9253,57884480915.61654,10.916664370892093,11.06,12604522.129139418,119072246.19120772,95342030.14375404,4500000.0,31834738.17659311,1378.1509975834226,1103.4957192564125,1133.9099999999999,1133.766664370892
2009-12-09,-0.7869537136910372,2700706745667.1343,57884482609.25726,10.925132574514233,11.09,373853227.6653948,256811087.0896961,95732491.54617868,4500000.0,530431823.20891225,2972.3505450196308,1108.0149484511421,1133.9399999999998,1133.7751325745141
2009-12-10,-0.7792869469423018,2701186977041.5923,57884484142.61061,10.93279934126297,11.06,346725107.51927924,234094731.22973505,96088464.29101501,4500000.0,480231374.4579992,2709.429759603415,1112.1350033682293,1133.9099999999999,1133.782799341263
2009-12-11,-0.7673236669269369,2701936333659.98,57884486535.26662,10.944762621278334,11.07,574631173.9759455,275856680.8811993,96631236.46939902,4500000.0,749356618.3877459,3192.785658347214,1118.4170887661924,1133.9199999999998,1133.7947626212783
2009-12-12,-0.7609998567797973,2702332444841.9556,57884487800.02864,10.951086431425473,11.06,307960197.3646397,189582379.675039,96931395.06425197,4500000.0,396111181.97542673,2194.2405054981364,1121.8911465769904,1133.9099999999999,1133.8010864314253
2009-12-13,-0.7592489302188804,2702442119480.1025,57884488150.21396,10.95283735798639,11.06,94131871.68168582,117077390.95542601,97034624.49033865,4500000.0,109674638.14677319,1355.0623953174306,1123.0859316011417,1133.9099999999999,1133.8028373579864
2009-12-14,-0.7525376682452022,2702862499891.7666,57884489492.466354,10.959548619960069,11.08,311388137.32691526,210844757.09264472,97352482.75570096,4500000.0,420380411.663859,2440.332836720425,1126.7648467095019,1133.9299999999998,1133.80954861996
2009-12-15,-0.7443477266850439,2703375501939.371,57884490000.0,10.967738561520227,11.12,376764361.9349963,238472130.0514084,97734444.38183844,4500000.0,513002047.6045662,2760.094097817227,1131.1856988638708,1133.9699999999998,1133.8177385615202
2009-12-16,-0.736925403469384,2703840421871.2373,57884490000.0,10.975160884735887,11.12,340115190.76798266,227387593.75586107,98082852.65766495,4500000.0,464919931.8661788,2631.8008536557995,1135.2182020563073,1133.9699999999998,1133.8251608847359
2009-12-17,-0.7362016239039185,2703885758019.568,57884490000.0,10.975884664301352,11.12,24062902.362691753,123914448.73561579,98141202.76778726,4500000.0,45336148.33052029,1434.1950085140716,1135.8935505530933,1133.9699999999998,1133.8258846643012
2009-12-18,-0.7417440754813796,2703538589601.4194,57884490000.0,10.97034221272389,11.12,-260592876.5230556,15852321.686403787,97927863.31160128,4500000.0,-347168418.1482531,183.47594544448827,1133.424343884274,1133.9699999999998,1133.8203422127237
2009-12-19,-0.7461181272631895,2703264607480.5537,57884490000.0,10.965968160942081,11.11,-221641866.26552638,49924887.52908432,97765142.12946312,4500000.0,-273982120.86590517,577.8343464014389,1131.5409968687861,1133.9599999999998,1133.815968160942
2009-12-20,-0.7531724510923972,2702822738327.4487,57884489365.50978,10.958913837112874,11.12,-347418454.8751764,7535921.079347511,97486619.30918075,4500000.0,-441869153.1050097,87.22130878874434,1128.317353115518,1133.9699999999998,1133.8089138371129
2009-12-21,-0.761155465263556,2702322697828.843,57884487768.906944,10.950930822941714,11.11,-402805580.8217794,4432837.004854572,97167754.78897156,4500000.0,-500040498.60589635,51.30598385248347,1124.6267915390226,1133.9599999999998,1133.8009308229416
2009-12-22,-0.7679645632804126,2701896189157.506,57884486407.08734,10.944121724924859,11.11,-326372391.85662234,1263691.0217424936,96899970.5018754,4500000.0,-426508671.3367552,14.626053492389971,1121.5274363642986,1133.9599999999998,1133.7941217249247
2009-12-23,-0.7575882594206896,2702546140672.6177,57884488482.348114,10.954498028784581,11.1,452317205.661767,299509172.40665334,97374862.95645571,4500000.0,649951515.1119647,3466.5413472992286,1127.02387681083,1133.9499999999998,1133.8044980287846
