candidate_index,days_above_high_threshold,days_below_low_threshold,min_level_m,max_level_m,mean_level_m,mean_outflow_m3s,std_outflow_m3s,mean_abs_ramp_m3s_day,monthly_q_min_m3s,monthly_q_max_m3s,wet_minus_dry_mean_m3s,seasonal_spread_gap_m3s,natural_band_penalty_m3s,realized_monthly_target_rmse_m3s,realized_high_violation_m,realized_low_violation_m,realized_is_band_feasible,realized_is_guardrail_feasible,emergency_high_release_days,emergency_low_release_days,high_water_buffer_m,low_water_buffer_m,dry_protective_q_min_m3s,excess_low_days_vs_observed,selection_score
38,270,124,11.001069743160794,12.32134148051223,11.610525431422861,1070.0060356613396,188.4020410406565,3.878830653399345,940.8146247767061,1209.131802914607,234.3836712915944,149.27796847497734,57.44898105250809,83.04736060160758,0.17134148051222908,0.1489302568392059,False,True,1674,1318,0.06665784719753726,0.6170265380596711,688.7477207201762,0,0.43987819279955465
39,280,117,11.003228390473836,12.331111389027258,11.613906629974995,1069.051715481028,184.6987641941801,3.5636993652292137,940.2812281070451,1201.3470041738906,233.67276055377147,148.5670577371544,42.41278024073608,81.94884993414196,0.18111138902725799,0.14677160952616397,False,True,1731,1311,0.11267488908118913,0.6236569584196071,678.3719390385811,0,0.43933065034738394
40,247,86,11.000424583455533,12.311093565986742,11.630478210560018,1071.0070472493483,194.8803005926269,3.6223572630400898,927.0063853164713,1211.2791141249506,257.6110537175772,172.50535090096014,75.55184293342995,92.67181585375744,0.16109356598674118,0.14957541654446693,False,True,1829,1557,0.10531495636931087,0.7505829655339349,651.2863448508273,0,0.43207314920577505
41,261,96,11.001070221616283,12.316423839305699,11.6260072781735,1070.486388597633,193.40397726844932,3.4987974170378537,931.064290573257,1209.3102189941603,250.21651595696812,165.11081314035107,67.5561474150636,89.54106749182304,0.1664238393056987,0.14892977838371735,False,True,1776,1510,0.06598913750359188,0.7127492422111924,676.1316359869542,0,0.43511818024390503
42,238,86,11.000195443905616,12.303109279298072,11.634156220098532,1071.7869487090734,201.4258472344076,3.6724026275471076,924.8854808258403,1218.314313436312,263.9221683565146,178.81646553989754,91.74314604678364,96.06518565846035,0.1531092792980715,0.14980455609438437,False,True,1777,1725,0.0752291602510192,0.7728197776646143,684.4008828680903,0,0.4309821558045757
43,236,85,11.000852205196235,12.299611310457806,11.636385255777698,1072.1286287001767,204.0407734370386,3.805782086221689,923.951683484157,1221.0519475854035,266.765475524552,181.65977270793496,98.15221168664993,97.49444506045893,0.1496113104578054,0.14914779480376517,False,True,1777,1752,0.10700462647779667,0.7834250702205091,692.4065946152682,0,0.43520060243266967
44,280,127,11.002539731309184,12.331827266360712,11.607448967270104,1068.9817889116214,182.88303243510956,3.6761075863253176,944.3293735503703,1201.920840350529,227.46491689958702,142.35921408296997,39.512307150687775,79.47241017145193,0.18182726636071145,0.14746026869081597,False,True,1704,1237,0.08848294644062764,0.5896079167595599,683.5100088730204,0,0.437665772280791
45,281,127,11.00336188899474,12.333001436664846,11.606977128829524,1068.8670964951623,182.45379759826676,3.695591748082789,944.7008798082455,1201.6552837043464,226.69393370214493,141.58823088552788,38.60968760044727,79.14292041889942,0.18300143666484558,0.14663811100525947,False,True,1695,1225,0.08046157150927337,0.5868374091828356,683.5237436691611,0,0.4382075227596665
46,254,91,11.003516294768291,12.3112968857884,11.62916084037347,1070.9871870644304,197.85758150000132,3.8046234892783946,928.472053158232,1215.5700724219062,255.97428431187893,170.86858149526188,82.6680916855803,92.50809336696548,0.16129688578839918,0.1464837052317094,False,True,1754,1643,0.10684136664423294,0.7333037453721597,692.7358319267477,0,0.44349377251758176
47,275,120,11.00044606287644,12.327760434086297,11.612640463657172,1069.3790352218593,184.9985533105312,3.570641436694452,939.8151962515666,1201.679646227073,235.074221694906,149.96851887828893,43.544096202579226,82.5362059828959,0.17776043408629683,0.14955393712356013,False,True,1721,1313,0.05740695753571219,0.6296384235513771,675.7128981276289,0,0.4347493397515022
